roomNumber,bin,room_entry_sequence,user_id,curr_people,ideal_sequential_state,sequential_consistency_diff,max_people,join_result,sequential_consistency_violation,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1301,2,25,yhjj889,27,26,1,100,SUCCESS,True,876808094800,876809026300
1301,2,26,yhjj832,26,27,-1,100,SUCCESS,True,876808809500,876808898700
1301,2,38,yhjj913,40,39,1,100,SUCCESS,True,876843056300,876844174200
1301,2,39,yhjj822,39,40,-1,100,SUCCESS,True,876843426200,876843498600
1301,3,58,yhjj1006,60,59,1,100,SUCCESS,True,876870157100,876872196700
1301,3,59,yhjj952,59,60,-1,100,SUCCESS,True,876870384300,876870485400
1301,4,64,yhjj862,67,65,2,100,SUCCESS,True,876877006200,876878525200
1301,4,65,yhjj928,65,66,-1,100,SUCCESS,True,876877167500,876877230200
1301,4,66,yhjj823,66,67,-1,100,SUCCESS,True,876877944500,876878006100
1301,4,69,yhjj962,71,70,1,100,SUCCESS,True,876880809200,876881171900
1301,4,70,yhjj894,70,71,-1,100,SUCCESS,True,876880878400,876881006900
1301,4,73,yhjj885,75,74,1,100,SUCCESS,True,876885548300,876886056000
1301,4,74,yhjj979,74,75,-1,100,SUCCESS,True,876885807500,876885854100
1301,4,79,yhjj884,81,80,1,100,SUCCESS,True,876890307300,876890686000
1301,4,80,yhjj844,80,81,-1,100,SUCCESS,True,876890538600,876890589500
1301,5,88,yhjj831,90,89,1,100,SUCCESS,True,876902201200,876903055500
1301,5,89,yhjj908,89,90,-1,100,SUCCESS,True,876902412400,876902459800
1301,5,93,yhjj916,99,94,5,100,SUCCESS,True,876907912000,876917082200
1301,5,94,yhjj1014,94,95,-1,100,SUCCESS,True,876909285700,876909356000
1301,5,95,yhjj961,95,96,-1,100,SUCCESS,True,876910203800,876910267000
1301,5,96,yhjj942,96,97,-1,100,SUCCESS,True,876911003300,876911076700
1301,5,97,yhjj977,97,98,-1,100,SUCCESS,True,876914383000,876914469600
1301,5,98,yhjj932,98,99,-1,100,SUCCESS,True,876915069200,876915160800
